# Phase 16 (ADR 0093 D2, Amendment 1 A1·4) — ONA skeleton DRAFT for PO validation.
# Backend-drafted from PUBLIC ONA structural knowledge (section/subsection
# organization + the 3-tier level model), NOT transcribed from any manual PDF.
# SKELETON ONLY: codigo, titulo_curto, nivel, parent_codigo. NO description_md,
# NO manual prose, not one sentence of it (D2 — the packs are skeleton-only
# precisely because the full manual text is licensed, ONA in this case).
#
# CONFIDENCE NOTE (read before validating — see the full breakdown in the
# turn's report to the lead):
#   HIGH confidence: the 3-level model itself (Nivel 1 Seguranca / Nivel 2
#   Gestao Integrada / Nivel 3 Excelencia, cumulative certification per
#   ADR 0093 D3); the existence and general scope of the three major sections
#   (Lideranca e Administracao / Servicos Profissionais e Organizacao da
#   Assistencia / Seguranca do Ambiente e Infraestrutura); that each
#   subsection carries all three level-tiers as separate evaluation criteria.
#   LOWER confidence, INFERRED and NEEDS PO VERIFICATION: the EXACT section/
#   subsection numbering (1.1 vs 1.2 vs a different order), whether every
#   subsection listed here exists as its own item in the CURRENT manual
#   edition vs. being merged/split differently, and the precise short-title
#   WORDING ONA currently uses (I approximated standard Portuguese hospital-
#   quality vocabulary, not manual-verbatim headings). Every row below should
#   be treated as "needs PO confirmation," not as a verified transcription.
#
# Hierarchy: SECAO (parent_codigo empty, nivel empty) -> SUBSECAO (parent =
# the SECAO code, nivel empty -- a grouping node) -> three NIVEL leaf rows per
# subsecao (parent = the SUBSECAO code, nivel = 1|2|3 -- these are the actual
# accreditation_standards rows readiness_report evaluates).
codigo,titulo_curto,nivel,parent_codigo
1,Liderança e Administração,,
1.1,Direção e Liderança,,1
1.1-N1,Direção e Liderança — Nível 1,1,1.1
1.1-N2,Direção e Liderança — Nível 2,2,1.1
1.1-N3,Direção e Liderança — Nível 3,3,1.1
1.2,Ética e Direitos do Paciente,,1
1.2-N1,Ética e Direitos do Paciente — Nível 1,1,1.2
1.2-N2,Ética e Direitos do Paciente — Nível 2,2,1.2
1.2-N3,Ética e Direitos do Paciente — Nível 3,3,1.2
1.3,Gestão de Pessoas,,1
1.3-N1,Gestão de Pessoas — Nível 1,1,1.3
1.3-N2,Gestão de Pessoas — Nível 2,2,1.3
1.3-N3,Gestão de Pessoas — Nível 3,3,1.3
1.4,Gestão de Recursos Materiais e Equipamentos,,1
1.4-N1,Gestão de Recursos Materiais e Equipamentos — Nível 1,1,1.4
1.4-N2,Gestão de Recursos Materiais e Equipamentos — Nível 2,2,1.4
1.4-N3,Gestão de Recursos Materiais e Equipamentos — Nível 3,3,1.4
1.5,Gestão da Qualidade e Segurança do Paciente,,1
1.5-N1,Gestão da Qualidade e Segurança do Paciente — Nível 1,1,1.5
1.5-N2,Gestão da Qualidade e Segurança do Paciente — Nível 2,2,1.5
1.5-N3,Gestão da Qualidade e Segurança do Paciente — Nível 3,3,1.5
1.6,Gestão de Tecnologia da Informação,,1
1.6-N1,Gestão de Tecnologia da Informação — Nível 1,1,1.6
1.6-N2,Gestão de Tecnologia da Informação — Nível 2,2,1.6
1.6-N3,Gestão de Tecnologia da Informação — Nível 3,3,1.6
1.7,Gestão de Riscos e Segurança Sanitária,,1
1.7-N1,Gestão de Riscos e Segurança Sanitária — Nível 1,1,1.7
1.7-N2,Gestão de Riscos e Segurança Sanitária — Nível 2,2,1.7
1.7-N3,Gestão de Riscos e Segurança Sanitária — Nível 3,3,1.7
2,Serviços Profissionais e Organização da Assistência,,
2.1,Corpo Clínico,,2
2.1-N1,Corpo Clínico — Nível 1,1,2.1
2.1-N2,Corpo Clínico — Nível 2,2,2.1
2.1-N3,Corpo Clínico — Nível 3,3,2.1
2.2,Enfermagem,,2
2.2-N1,Enfermagem — Nível 1,1,2.2
2.2-N2,Enfermagem — Nível 2,2,2.2
2.2-N3,Enfermagem — Nível 3,3,2.2
2.3,Serviço de Farmácia,,2
2.3-N1,Serviço de Farmácia — Nível 1,1,2.3
2.3-N2,Serviço de Farmácia — Nível 2,2,2.3
2.3-N3,Serviço de Farmácia — Nível 3,3,2.3
2.4,Serviço de Nutrição e Dietética,,2
2.4-N1,Serviço de Nutrição e Dietética — Nível 1,1,2.4
2.4-N2,Serviço de Nutrição e Dietética — Nível 2,2,2.4
2.4-N3,Serviço de Nutrição e Dietética — Nível 3,3,2.4
2.5,Serviço de Diagnóstico por Imagem,,2
2.5-N1,Serviço de Diagnóstico por Imagem — Nível 1,1,2.5
2.5-N2,Serviço de Diagnóstico por Imagem — Nível 2,2,2.5
2.5-N3,Serviço de Diagnóstico por Imagem — Nível 3,3,2.5
2.6,Serviço de Patologia Clínica,,2
2.6-N1,Serviço de Patologia Clínica — Nível 1,1,2.6
2.6-N2,Serviço de Patologia Clínica — Nível 2,2,2.6
2.6-N3,Serviço de Patologia Clínica — Nível 3,3,2.6
2.7,Centro Cirúrgico e Anestesia,,2
2.7-N1,Centro Cirúrgico e Anestesia — Nível 1,1,2.7
2.7-N2,Centro Cirúrgico e Anestesia — Nível 2,2,2.7
2.7-N3,Centro Cirúrgico e Anestesia — Nível 3,3,2.7
2.8,Centro Obstétrico,,2
2.8-N1,Centro Obstétrico — Nível 1,1,2.8
2.8-N2,Centro Obstétrico — Nível 2,2,2.8
2.8-N3,Centro Obstétrico — Nível 3,3,2.8
2.9,Unidade de Terapia Intensiva,,2
2.9-N1,Unidade de Terapia Intensiva — Nível 1,1,2.9
2.9-N2,Unidade de Terapia Intensiva — Nível 2,2,2.9
2.9-N3,Unidade de Terapia Intensiva — Nível 3,3,2.9
2.10,Serviço de Emergência,,2
2.10-N1,Serviço de Emergência — Nível 1,1,2.10
2.10-N2,Serviço de Emergência — Nível 2,2,2.10
2.10-N3,Serviço de Emergência — Nível 3,3,2.10
2.11,Central de Material e Esterilização,,2
2.11-N1,Central de Material e Esterilização — Nível 1,1,2.11
2.11-N2,Central de Material e Esterilização — Nível 2,2,2.11
2.11-N3,Central de Material e Esterilização — Nível 3,3,2.11
2.12,Serviço de Controle de Infecção Hospitalar,,2
2.12-N1,Serviço de Controle de Infecção Hospitalar — Nível 1,1,2.12
2.12-N2,Serviço de Controle de Infecção Hospitalar — Nível 2,2,2.12
2.12-N3,Serviço de Controle de Infecção Hospitalar — Nível 3,3,2.12
2.13,Serviço de Prontuário do Paciente,,2
2.13-N1,Serviço de Prontuário do Paciente — Nível 1,1,2.13
2.13-N2,Serviço de Prontuário do Paciente — Nível 2,2,2.13
2.13-N3,Serviço de Prontuário do Paciente — Nível 3,3,2.13
3,Segurança do Ambiente e Infraestrutura,,
3.1,Gestão de Resíduos de Serviços de Saúde,,3
3.1-N1,Gestão de Resíduos de Serviços de Saúde — Nível 1,1,3.1
3.1-N2,Gestão de Resíduos de Serviços de Saúde — Nível 2,2,3.1
3.1-N3,Gestão de Resíduos de Serviços de Saúde — Nível 3,3,3.1
3.2,Segurança Predial e Manutenção,,3
3.2-N1,Segurança Predial e Manutenção — Nível 1,1,3.2
3.2-N2,Segurança Predial e Manutenção — Nível 2,2,3.2
3.2-N3,Segurança Predial e Manutenção — Nível 3,3,3.2
3.3,Serviço de Higiene e Limpeza,,3
3.3-N1,Serviço de Higiene e Limpeza — Nível 1,1,3.3
3.3-N2,Serviço de Higiene e Limpeza — Nível 2,2,3.3
3.3-N3,Serviço de Higiene e Limpeza — Nível 3,3,3.3
3.4,Gestão de Suprimentos e Logística,,3
3.4-N1,Gestão de Suprimentos e Logística — Nível 1,1,3.4
3.4-N2,Gestão de Suprimentos e Logística — Nível 2,2,3.4
3.4-N3,Gestão de Suprimentos e Logística — Nível 3,3,3.4
